ensemble,alpha_d4,val_rmse,val_normal_mae
d4_vs_d3,1.0,0.0828215554356575,1.5105950386778821
d4_vs_d2,1.0,0.0828215554356575,1.5105950386778821
d4_vs_d3,0.9,0.08286219835281372,1.508567052269445
d4_vs_d3,0.8,0.08291406184434891,1.5068917514629734
d4_vs_d2,0.9,0.0829169899225235,1.4461507516578562
d4_vs_d3,0.7000000000000001,0.08297713845968246,1.5055575503886325
d4_vs_d3,0.6000000000000001,0.08305139094591141,1.5045623958689496
d4_vs_d2,0.8,0.08309921622276306,1.3893972256229918
d4_vs_d3,0.5,0.08313678950071335,1.503909387345453
d4_vs_d3,0.4,0.0832333117723465,1.5036066570906963
d4_vs_d3,0.30000000000000004,0.08334091305732727,1.50366472706054
d4_vs_d2,0.7000000000000001,0.08336767554283142,1.3378241797095363
d4_vs_d3,0.2,0.08345954865217209,1.504101380561162
d4_vs_d3,0.1,0.08358916640281677,1.5049437947064928
d4_vs_d2,0.6000000000000001,0.08372152596712112,1.2910701733769723
d4_vs_d3,0.0,0.08372972160577774,1.5062437607246695
d4_vs_d2,0.5,0.08415970951318741,1.2494898149110738
d4_vs_d2,0.4,0.08468089252710342,1.2137878644234925
d4_vs_d2,0.30000000000000004,0.08528357744216919,1.184988264898652
d4_vs_d2,0.2,0.08596602082252502,1.1644719153353311
d4_vs_d2,0.1,0.08672637492418289,1.1536436176415785
d4_vs_d2,0.0,0.08756259083747864,1.1529768641712597
